cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr
ASCC_10,51.87,34.981,1.459,-1.737,-1.368,65,155.72353157036318,-17.769992147485286,263.0268453963284
ASCC_101,288.399,36.369,2.488,0.934,1.288,69,68.02807935701506,11.607900672631287,489.7783461428336
ASCC_105,295.548,27.366,1.783,1.464,-1.635,113,62.82445527390996,2.062756077600696,74.13100459583173
ASCC_107,297.164,21.987,1.109,-0.155,-5.156,57,58.90301571432033,-1.901557345076885,16.98243727045763
ASCC_108,298.306,39.349,0.838,-0.519,-1.69,188,74.37841052554725,6.073935923987009,107.15186464071414
ASCC_11,53.056,44.856,1.141,0.926,-3.03,245,150.54595272088545,-9.223320259161595,245.4710856206481
ASCC_110,300.742,33.528,0.497,0.271,-3.132,65,70.4113502224225,1.377813663625107,794.3275370132719
ASCC_111,302.891,37.515,1.166,-1.15,-1.524,136,74.71360447366477,2.0557450237938117,275.42260421949857
ASCC_113,317.933,38.638,1.762,0.8,-3.679,175,82.87709277159651,-6.589291963362839,288.40317564502845
ASCC_114,324.99,53.997,1.066,-3.716,-3.421,134,97.0820844658872,1.0278183589152419,47.862990313698695
ASCC_115,329.28,51.558,1.311,-0.549,-0.543,32,97.52780189713835,-2.504363769364557,131.82563911826833
ASCC_12,72.4,41.744,0.941,-0.634,-2.794,139,162.98549848261325,-1.8926844756750656,93.32538499404744
ASCC_123,340.299,53.986,4.262,12.093,-1.407,49,104.43374596731853,-4.14120533553968,44.66836902389504
ASCC_127,347.205,64.974,2.633,7.474,-1.745,117,112.34957744165082,4.232104710808196,18.197018176288072
ASCC_128,349.949,54.435,1.509,1.236,0.186,68,109.77007317712766,-6.078042300582311,251.18842251536412
ASCC_13,78.255,44.417,0.898,-0.473,-1.743,85,163.50200030416735,3.1219948373914392,31.622776601683793
ASCC_16,81.198,1.655,2.838,1.355,-0.015,175,201.13957558734162,-18.373357827362863,13.489632380568445
ASCC_19,81.982,-1.987,2.768,1.152,-1.234,149,204.91335623584658,-19.437912226928557,10.471285020627683
ASCC_21,82.179,3.527,2.866,1.404,-0.632,90,199.9379496257487,-16.598171867717564,8.912505467113453
ASCC_23,95.047,46.71,1.594,1.098,-0.598,120,167.47221485226916,14.415625110460118,234.42281975923814
ASCC_29,103.571,-1.67,0.944,-1.008,-1.019,46,214.74259762235155,-0.12842340029316784,93.32538499404744
ASCC_30,104.271,-6.23,0.897,-1.595,-0.171,46,219.11978673176395,-1.5866951432943286,173.77999128939916
ASCC_32,105.714,-26.512,1.23,-3.307,3.477,186,237.97636252121356,-9.432396088185607,25.118869830988675
ASCC_41,116.674,0.137,3.352,0.646,-3.99,123,219.2053452745014,12.333446923142098,213.7961713919407
ASCC_58,153.657,-55.001,2.06,-13.276,2.786,133,281.67101643371296,1.2630272786727164,52.480720671452154
ASCC_6,26.846,57.722,0.621,-0.838,0.211,111,130.3692875955191,-4.339626350495106,34.67368199963294
ASCC_66,168.367,-55.437,0.999,-11.331,2.969,22,289.279807785946,4.816445982782231,58.88436294945623
ASCC_67,175.28,-61.013,0.482,-6.766,0.919,26,294.5148758237292,0.7043820186631816,37.153537595204696
ASCC_71,185.033,-67.509,0.786,-9.272,-1.351,76,299.9353463549109,-4.8195787222588775,128.8248533293805
ASCC_73,189.281,-67.203,1.518,-11.539,-2.945,57,301.5421083001876,-4.36988991151398,338.8439477987164
ASCC_77,212.694,-62.331,0.842,-4.243,-3.22,141,311.99829602931356,-0.8640197551899884,81.28302305789093
ASCC_79,229.731,-60.798,1.176,-2.914,-4.232,113,319.97686296298536,-2.9041272927879827,18.620870548831206
ASCC_85,251.853,-45.555,1.119,0.17,-4.102,105,339.8143385176896,-0.25839052071878743,70.79456289251887
ASCC_87,255.658,-28.421,1.27,-1.18,-3.814,45,355.12455614032456,8.092663012324774,83.17639172213713
ASCC_88,256.886,-35.564,1.097,0.919,-3.282,121,350.01056982747804,2.972877413668849,245.4710856206481
ASCC_9,41.671,57.743,0.406,0.166,-1.099,48,137.84391690440583,-1.753144748894061,29.512078009328953
ASCC_90,264.777,-34.874,1.713,-1.63,-2.681,58,354.22414234029765,-1.9535642201760206,812.8302305789093
ASCC_97,279.263,-19.139,1.74,-2.331,-6.508,20,14.249779313399953,-5.55244687878896,112.20189470737863
ASCC_99,282.17,-18.488,3.367,5.188,-1.311,63,16.07052354023653,-7.726149504986636,354.8135450617081
Alessi_1,13.343,49.536,1.39,6.536,-6.245,45,123.2544087176807,-13.33453836820403,1445.4392628956643
Alessi_10,301.233,-10.555,2.233,1.469,-7.879,70,31.597764986712125,-21.058056054313514,91.20109194638907
Alessi_12,310.875,23.871,1.816,4.303,-4.639,307,67.48850401199869,-11.405448991310601,134.89632380568446
Alessi_13,51.762,-35.821,9.584,36.332,-4.709,48,237.53210030935458,-55.94117980795696,35.48135450617081
Alessi_15,100.767,1.672,0.093,-0.182,0.469,17,210.48936819824334,-1.0988473565935712,33.88443198353887
Alessi_17,113.853,-15.098,0.264,-1.526,1.557,15,231.35861654951822,2.5843447886459,
Alessi_18,114.295,-26.386,0.126,-1.261,1.79,24,241.42069778095149,-2.554862128220381,5.12861429039393
Alessi_19,274.741,12.311,1.71,-1.005,-7.073,60,40.403501691883086,12.710111598110041,25.703948796691975
Alessi_2,71.602,55.199,1.589,-0.904,-1.046,159,152.33230573066785,6.36508444546703,354.8135450617081
Alessi_20,2.593,58.742,2.311,8.195,-2.341,119,117.61445752037093,-3.70512458929773,9.332538499404743
Alessi_21,107.69,-9.363,1.72,-5.475,2.602,113,223.45767305095706,-0.013590272469600968,66.06937091565955
