source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,l,b,pf,type_best_classification,pl_distance_kpc,r_galactocentric_kpc
5338024572321721216,164.46107872433964,-60.74208432060505,0.4137353685869593,0.011167433,-5.819377155428378,1.3599726298495696,9.513883,289.48925445230054,-0.8699490851073537,4.266072139827661,DCEP,1.8212330889861368,7.708047638553807
4094784475310672128,274.24882157138273,-19.07583147548117,0.5742031493221923,0.027733965,0.9790249382265857,-0.2235557106204604,7.682094,12.109010467744168,-1.323249191495382,21.84747820191288,DCEP,1.7358045255463255,6.435573066523629
5258904608895410688,152.30668209632992,-57.24258884780392,0.4085287039500881,0.017520247,-5.313136045125852,2.5521594047192817,10.56435,282.3320934801723,-1.0071555285161953,4.091211534784611,DCEP,2.8947186986525706,8.018879973173991
1820309639468685824,299.005263800266,16.634763461606617,1.6673186211551927,0.11061882,0.3748633774126357,-7.099667404954407,5.461868,55.16821092316601,-6.119235182875808,8.381965517362739,DCEP,0.3915795224918964,7.90607832122003
4041690364529590144,267.7181112584579,-33.705676248707995,0.72793709911494,0.032087274,1.4852699242613905,-1.3879323984665772,7.4897914,356.48924494063925,-3.4196751220213093,20.329497690713037,DCEP,1.5339396825840763,6.594331887288294
4147381366335558784,272.50887793974624,-13.545961888655592,0.5351415727679009,0.019534282,-1.4080518933595128,0.5226403136914374,10.01851,16.166891486977892,2.7887697468233705,5.301039328916447,DCEP,2.554081752264001,5.716129564863396
6054829806275577216,185.3379293350685,-62.28163515187921,1.2105790668398266,0.014247865,-10.914670129267629,-0.4712079719306856,6.35187,299.44125419309074,0.3860308369744495,6.733207560857596,DCEP,0.530262901737671,7.874915871621394
6032528343185996544,249.9965036563848,-27.889433154539677,0.0696768966161801,0.027781984,-3.614314719691642,-0.5656775586722662,14.792226,352.39081354627245,12.330453818199771,1.858182360064155,DCEP,13.811536061305418,5.547698438499639
1454784317416279168,205.54851229948756,28.37044707393625,-0.0601105880050509,0.06960228,0.229706229198256,-2.6990261176348858,12.44537,42.18211051766884,78.70716491070984,15.298751393327093,DCEP,13.085455717035954,6.456686474664112
6770375480925699584,287.7349380622648,-24.634061826488345,0.0673946182408425,0.021007078,-3.447238994403912,-9.04524736342392,13.08459,12.592395594174006,-15.00004547169844,14.215560259636373,DCEP,16.94728641083476,8.626865798070801
