source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,l,b,pf,type_best_classification
5256178232392037120,149.28245432608742,-61.24901602130872,0.10598578377810668,0.020859357,-4.364256793876146,4.1930497584017825,15.054192,283.48641053773383,-5.143012594114631,2.8447913303536874,T2CEP
6734274043115986176,277.6851189459563,-35.342556620869715,0.08993829978334356,0.01558317,-4.003007201362143,-8.433977575326827,13.2189245,358.91201088088957,-11.4373891309148,8.592702804366464,T2CEP
3344381567567275392,93.0915100210619,13.636593708489904,0.29034174697865844,0.025602615,-0.31966412387549714,-1.0337035224885687,12.921536,196.35953084612663,-2.248501015914775,3.5632219487315777,DCEP
4663673436451091072,78.61303736066834,-64.98514962145993,-0.05775248579221046,0.04821529,1.448184797736855,0.14299675523246325,16.88257,275.00399751701707,-34.59402901953793,,DCEP
4654732761955207936,74.22177862647166,-70.43319495954069,0.037458537429855165,0.044294152,1.9446063862658016,-0.36720162168013054,16.859583,281.9237399867571,-34.92498971757153,,DCEP
4654983343231845888,70.75671704280472,-70.16709854251661,0.021649147766958594,0.040893883,1.9059446904027264,-0.24117200478328518,16.181015,282.0914645040487,-36.11498118169496,2.577303128382637,DCEP
4657248818211810944,83.57754120857687,-69.89404835722553,0.0067574028804548,0.025478441,1.7847139699469259,0.5364939495669087,15.696184,280.44846220011283,-31.952900945921005,,DCEP
4685650307384596736,13.081172597123324,-74.00825508903212,0.07344806672535965,0.07759774,0.40722357325933306,-1.258314761348805,17.739513,302.8482458088291,-43.119850840429706,,DCEP
4685694356573321216,15.626788475941275,-73.44499767647085,-1.5094282419438871,0.19001582,3.4152621402707433,0.5735526630823743,15.807466,301.84235704086655,-43.65982706071161,3.5083226766550952,DCEP
4685695215572467584,15.830505842975988,-73.36842294912614,-0.01573478537407996,0.066104196,0.6920412926683303,-1.2450704431967672,17.469564,301.7555196027499,-43.732671509742296,1.6148478830476614,DCEP
4685821418888717696,10.454512086775416,-73.72838818943363,-0.024220286517466424,0.019293819,0.5574899735333134,-1.1386823985118424,14.878152,303.85885594995483,-43.382543822180466,12.39874202638349,DCEP
4685843752706108800,10.495490149307264,-73.47854098085386,-0.006912316244702709,0.0322031,0.5606929566659268,-1.0518441914318275,16.236633,303.8605145822962,-43.63265575378838,,DCEP
