source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,l,b,distance_kpc,r_galactocentric_kpc
883913031253648512,105.39986206527207,26.573710700027743,1.964011314405996,0.044919852,-1.8310540679056015,-3.101065965825311,10.07229,-0.016153336,189.88850168319505,13.843101324383216,0.5091620362189432,8.609447316247024
3049551750830128000,105.98938196831516,-10.123762071443617,1.725795665662152,0.03994446,-4.146654043263721,0.5957434866282998,6.42335,-0.058327198,223.362336134598,-1.851769338385592,0.5794428737403977,8.552299450615926
3061369439244530816,111.65688937626412,-2.9840147439069358,2.487569057837237,0.032703552,-1.902020714658847,0.1078355320016556,8.505023,-0.041535378,219.63426681481383,6.441802212156307,0.4019988899803362,8.433487798925746
3106050911737526912,103.55784880310826,-2.156150876663633,11.40186640799183,0.037621863,71.64999028843873,-96.51344000830024,14.772283,-0.45094395,215.16924034958996,-0.3618556984637068,0.0877049391930322,8.193849067593108
3113387849750213248,103.34045114918976,0.4003213324761213,1.1761156847010348,0.02765254,-1.3245002929198877,-2.0104575868771075,10.237985,-0.00012874603,212.794940884998,0.610593222680259,0.8502564951798913,8.848688087636186
3120214713148227584,96.78823180338976,0.1349968612756135,3.037342027366986,0.054797485,-8.591944646639536,-4.641251849414729,7.824444,-0.091341496,210.0347693823382,-5.339386143209491,0.32923522968102503,8.407390557674281
3132658990049076608,100.3971593334087,6.1939149094166845,1.541822917346673,0.029163966,-3.225416215000652,-1.1103928328523676,9.60874,-0.01736927,206.29904049591997,0.6408673641682435,0.6485829136078107,8.708156164095385
3316788773511666944,89.97329116312699,3.990989521278785,5.278178440065687,0.038973078,-5.937338469944645,-2.9477836284677603,7.474014,-0.015240192,203.3943836225565,-9.570625393730856,0.18945930141527292,8.29379603155502
3326941865743978880,100.28597444699292,10.140367790988428,1.3116296963855267,0.041371107,-1.6793198243347818,-3.258640847874527,10.083555,-0.09942818,202.73718339332407,2.346544225970647,0.7624103073876046,8.829482200742069
5635207069015048192,136.10696569882936,-30.743828519397415,0.5315040814175117,0.03267453,-4.044180518047489,4.1089403498912604,15.794275,-0.1443901,255.9129203494561,10.73506993813863,1.8814530969038248,8.757425532896182
