source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,l,b
355993728746239104,30.5834992157139,46.84241944947825,4.4392910505599765,0.05332719,17.27345792122656,-18.819414062710607,7.075063,-0.05316305,135.3419052702983,-14.313897566570274
392840562417338112,4.625191224328023,48.80543937699111,0.30904423054696245,0.034664933,-0.9233886045563926,-3.0220886052198854,15.281122,-0.15026855,117.36004329167227,-13.709649723776542
2007465931755852288,342.4682717308524,58.57551029262804,9.322119619369793,0.0335972,8.766072290396943,-12.583110490399697,14.245846,-0.46432495,107.63741996868538,-0.6390508459574312
2171441048609486208,324.51185997317003,50.61741266427452,0.8009414586680698,0.040824458,-2.410245447684812,-2.615389861520643,10.059148,-0.04628849,94.62378428733624,-1.3098287865436196
2186814729417401984,306.77357556806703,55.569387876329415,6.470651134143486,0.03743856,82.8113398139303,61.9232985569216,15.700902,-0.42245007,91.28384726542184,9.910972513548783
2234082184536847616,298.6575304097754,55.55987462551149,0.7472738561714954,0.027759433,-9.655440047200214,-9.000755877428785,10.691104,-0.0018281937,88.84652872423258,13.829182548421851
2920727123063869568,104.75245572737286,-26.474410118973005,1.215128402506655,0.04145848,-4.552321595164612,3.202531031846931,7.1480513,-0.26216602,237.5656526310376,-10.192793812828723
2939088215629494144,98.69212554895685,-19.952961989869742,2.5762509952666273,0.03965991,-3.6877337383282502,6.268273833636711,8.048285,-0.12048769,229.1428824640879,-12.4974951482777
5540239947627316992,125.99242723753213,-38.48047016115834,2.331269442927194,0.07506732,-12.011978590662585,5.035206867268359,9.283602,-0.0026445389,256.88450738912434,-0.5743939217733369
5593201361154536960,112.01604074719005,-31.76097315509613,0.5655638283005007,0.038310286,-0.45364627313622874,10.919766119267027,15.527329,-0.2779789,245.20790334667095,-6.8690962079434
5604686034976764928,106.5019707032179,-30.655686465437828,3.329195109129812,0.06261299,-11.383091805335342,5.471138520712165,6.309014,-0.1807456,242.07600300300234,-10.594460478520803
5605949614358188800,107.62760334101658,-30.662489387415278,1.0294398434365313,0.04001377,-3.0365876130801186,3.308865334309507,7.474357,-0.26375818,242.50749985265625,-9.724272599646687
